Time,Description
2023-03-07-09-31-16-067499,running at 60kW load
2023-03-07-11-02-05-539884,for reference - strain smart data started at 9:10AM
2023-03-07-12-29-00-117917,strain gauge temps between 140-160 C
2023-03-07-13-15-40-306294,heard rattling in cyclone
2023-03-07-13-20-03-259147,walker reducing prv setpoint to get reeduced flowrate
2023-03-07-13-23-59-797061,strain gauges temp 160-180
2023-03-07-13-26-52-418707,cyclone stopped
