,datetime,state,tg,ti,tw1,tw2,tw3,tc1,tc2,tc3,to,thop,tcool,tv,pg,pi,po,pv,dpo,dpf,dpv,mdoti,mdoto,gai,gao,m_add,datetime_tooltip,value_display,event_display,pg_lowpass,po_lowpass,pv_lowpass,pi_lowpass,dpo_lowpass,dpf_lowpass,dpv_lowpass,mdoti_lowpass,mdoto_lowpass,ms,fill_height
50,2023-01-11 08:47:19.932904,0,0,10.8681078,10.10011101,9.55805397,10.32901192,9.83479023,10.0977335,8.719229698,10.55829048,9.813874245,0.0,9.763783455,-0.885493224,0.823699792,0,0.549008058,-0.140153827,0.019014772,-0.045079966,0.083802718,0.075174107,0.072660307,0.012818948,,2023-01-11 08:47:19,,none,-0.8532779366733996,0.0,0.5807142010991485,0.8745210327580077,-0.1444657237160013,0.023475975931239748,-0.05045143523458977,0.08538795713151204,0.07914622385687649,0,0.0
55,2023-01-11 08:47:25.009329,0,0,10.87548637,10.1040535,9.553822517,10.32454777,9.8309412,10.0892992,8.709260941,10.56321812,9.816893578,0.0,9.762374878,-0.793929313,0.8847424,0,0.610050665,-0.143358564,0.021151264,-0.052557685,0.085305003,0.080970144,0.074432324,0.013429374,,2023-01-11 08:47:25,,none,-0.8517664562690584,0.0,0.5836831836719689,0.8746865076282838,-0.1444460943173993,0.023349686933666746,-0.050558183230462364,0.0853893394682336,0.07925488212750524,0,0.0
60,2023-01-11 08:47:30.066945,0,0,10.87727833,10.10508251,9.564580917,10.33054352,9.818384171,10.09011841,8.726523399,10.56151485,9.832770348,0.0,9.761875153,-0.824450617,0.915263704,0,0.579529361,-0.143358564,0.020083018,-0.052557685,0.0856667,0.080706169,0.074410099,0.013429374,,2023-01-11 08:47:30,,none,-0.8520649498954824,0.0,0.5868712073126421,0.8742856050737422,-0.14438610005695765,0.023305178428827938,-0.050623157652320366,0.08537346137672508,0.07933906167737995,0,0.0
65,2023-01-11 08:47:35.134070,0,0,10.87687683,10.10888577,9.54837513,10.33243561,9.836196899,10.11060333,8.737462044,10.55612469,9.807122231,0.0,9.761091232,-0.85497192,0.854221096,0,0.610050665,-0.142290319,0.022219509,-0.046148211,0.084681176,0.076418405,0.074454563,0.013429374,,2023-01-11 08:47:35,,none,-0.853833825316533,0.0,0.5895770558124972,0.8714245597463245,-0.14391180308665533,0.023391730547702723,-0.050596355901972374,0.08523462082115926,0.07934458002677244,0,0.0
70,2023-01-11 08:47:40.200754,0,0,10.87389565,10.11048889,9.569473267,10.33289146,9.833595276,10.11182499,8.735242844,10.56771755,9.857703209,0.0,9.771103859,-0.916014528,0.854221096,0,0.579529361,-0.152972775,0.019014772,-0.048284703,0.086965564,0.077746881,0.072638598,0.012818948,,2023-01-11 08:47:40,,none,-0.8557636807494612,0.0,0.5916618250876521,0.8679177015311235,-0.14352072102029118,0.02355660061733526,-0.05083149477115312,0.08510399437178773,0.07952438215345854,0,0.0
75,2023-01-11 08:47:45.292553,0,0,10.8708992,10.11895466,9.55997467,10.32454491,9.838238716,10.08971691,8.718474388,10.56670094,9.774128914,0.0,9.770781517,-0.916014528,0.823699792,0,0.640571969,-0.142290319,0.03183372,-0.050421194,0.084271221,0.079722204,0.072660307,0.012818948,,2023-01-11 08:47:45,,none,-0.8546422710463313,0.0,0.5930312881878849,0.8658375585567791,-0.14308441173384256,0.02365173867479218,-0.051117644618604505,0.08498122434529032,0.07973570986302304,0,0.0
80,2023-01-11 08:47:50.377937,0,0,10.87325096,10.10984325,9.567466736,10.33453941,9.824326515,10.09758949,8.732470512,10.55689907,9.827771187,0.0,9.768165588,-0.793929313,0.854221096,0,0.579529361,-0.150836284,0.016878281,-0.055762422,0.086522704,0.082812763,0.074454563,0.013429374,,2023-01-11 08:47:50,,none,-0.8515426587737444,0.0,0.5942118848821368,0.8672118508844575,-0.14322408137133313,0.023638019574697078,-0.051166545106459606,0.08502975017366697,0.07977421119525972,0,0.0
85,2023-01-11 08:47:55.456026,0,0,10.87814617,10.11130047,9.568305969,10.3356142,9.825166702,10.08467102,8.727574348,10.56294155,9.814322472,0.0,9.774591446,-0.885493224,0.8847424,0,0.610050665,-0.150836284,0.024356,-0.062171896,0.086939984,0.08711012,0.058093521,0.006104261,,2023-01-11 08:47:55,,none,-0.8495022500699816,0.0,0.5956375988180446,0.8679365517534123,-0.14331229314803529,0.02374589347723232,-0.05110957734576093,0.0850591474884909,0.07973602471818483,0,0.0
90,2023-01-11 08:48:00.518017,0,0,10.87362099,10.12129402,9.557824135,10.33643818,9.841821671,10.09177017,8.701791763,10.56035042,9.815552711,0.0,9.775797844,-0.85497192,0.915263704,0,0.579529361,-0.134812599,0.032901966,-0.039738738,0.083658874,0.071241165,0.074410099,0.013429374,,2023-01-11 08:48:00,,none,-0.8471751594235836,0.0,0.5960417445558678,0.8665989360881962,-0.14321636082947273,0.023870537305927995,-0.05086059012725577,0.0850198948187307,0.07956503540639466,0,0.0
95,2023-01-11 08:48:05.593887,0,0,10.88383961,10.11623192,9.56730175,10.34016323,9.827983856,10.08978081,8.722744942,10.57260609,9.859918594,0.0,9.785257339,-0.824450617,0.854221096,0,0.579529361,-0.145495056,0.015810035,-0.052557685,0.085383724,0.080702834,0.070822633,0.012208522,,2023-01-11 08:48:05,,none,-0.8453548819817766,0.0,0.5966960645677019,0.8637056573178432,-0.1433190801310017,0.02369005315715654,-0.05105643313489566,0.0850062285583129,0.079711752417236,0,0.0
100,2023-01-11 08:48:10.653014,0,0,10.87871265,10.11568832,9.57317543,10.33694553,9.8357687,10.09718227,8.73320961,10.57753468,9.824717522,0.0,9.771336555,-0.824450617,0.854221096,0,0.671093273,-0.143358564,0.024356,-0.056830668,0.084917233,0.084305982,0.074454563,0.013429374,,2023-01-11 08:48:10,,none,-0.8435188055785259,0.0,0.5974254579415021,0.8620124074303879,-0.14324098823989764,0.023688384823233453,-0.051304405915432706,0.08496671410340603,0.07988986702415692,0,0.0
105,2023-01-11 08:48:15.730895,0,0,10.87872505,10.11570072,9.567955017,10.33581066,9.840486526,10.09960651,8.719957352,10.57518959,9.829632759,0.0,9.773641586,-0.85497192,0.8847424,0,0.579529361,-0.140153827,0.022219509,-0.052557685,0.084577141,0.080704491,0.074432324,0.012818948,,2023-01-11 08:48:15,,none,-0.8421368663194557,0.0,0.5966454893548738,0.8624555713221299,-0.14298656566875487,0.02384021320396958,-0.05132679400497319,0.08491423113030444,0.07990290160317848,0,0.0
110,2023-01-11 08:48:20.807561,0,0,10.87944508,10.1206255,9.571044922,10.34723091,9.836694717,10.09390545,8.733755112,10.57786369,9.834983826,0.0,9.775128365,-0.885493224,0.854221096,0,0.579529361,-0.14442681,0.026492492,-0.047216457,0.085151649,0.07697836,0.072638598,0.012818948,,2023-01-11 08:48:20,,none,-0.8418011038767197,0.0,0.5968837472640456,0.8633206730637779,-0.14272265231539522,0.023833648031932993,-0.051426154074994616,0.0848650254251698,0.0799748815493084,0,0.0
115,2023-01-11 08:48:25.859753,0,0,10.87638283,10.11718082,9.580938339,10.33996582,9.839708328,10.09844589,8.736769676,10.57914066,9.822883606,0.0,9.785441399,-0.824450617,0.8847424,0,0.610050665,-0.138017336,0.027560737,-0.045079966,0.084083413,0.075615277,0.070801479,0.011598095,,2023-01-11 08:48:25,,none,-0.8408735608522423,0.0,0.5973008504754475,0.8655098768032249,-0.14253070378687188,0.023633574318222182,-0.051543040436405244,0.08484995421963516,0.0800552661938912,0,0.0
120,2023-01-11 08:48:30.933877,0,0,10.87888718,10.11777306,9.570495605,10.33635616,9.838056564,10.08838749,8.733587265,10.57491112,9.839291573,0.0,9.781449318,-0.824450617,0.854221096,0,0.610050665,-0.146563301,0.03183372,-0.050421194,0.085615431,0.079494963,0.074454563,0.013429374,,2023-01-11 08:48:30,,none,-0.840327587241426,0.0,0.5980602510839906,0.8678346995273827,-0.14251530855538583,0.023388931709202025,-0.05178466980896081,0.08487677594765744,0.08022198374227273,0,0.0
125,2023-01-11 08:48:37.473398,0,0,10.87691689,10.1173315,9.581553459,10.33897114,9.841852188,10.08645058,8.730118752,10.58061314,9.832000732,0.0,9.787887573,-0.85497192,0.8847424,0,0.610050665,-0.145495056,0.024356,-0.049352948,0.085780743,0.078741532,0.074432324,0.013429374,,2023-01-11 08:48:37,,none,-0.8395401505818595,0.0,0.5994226772378648,0.8697161975482125,-0.14216664140663318,0.02303174189032062,-0.05195439334303475,0.08482233568624464,0.08033806031599934,0,0.0
130,2023-01-11 08:48:42.537863,0,0,10.88820934,10.11487103,9.56096077,10.34071255,9.841900826,10.11019325,8.71487236,10.5688839,9.85313797,0.0,9.785806656,-0.85497192,0.915263704,0,0.610050665,-0.147631547,0.022219509,-0.049352948,0.086626182,0.078741821,0.074410099,0.015260652,,2023-01-11 08:48:42,,none,-0.8398188571651186,0.0,0.6025677601934495,0.8713427482430791,-0.1418189225043038,0.02278054996894226,-0.05218811354940936,0.08476317572011471,0.08051153100046832,0,0.0
135,2023-01-11 08:48:47.582571,2,0,10.89430141,10.12440586,9.577522278,10.33190536,9.84278965,10.10152817,8.753235817,10.57555771,9.815093994,0.0,9.778907776,-0.824450617,0.854221096,0,0.579529361,-0.14442681,0.025424246,-0.055762422,0.085149422,0.082811191,0.069006668,0.010987669,,2023-01-11 08:48:47,,none,-0.8408222083541814,0.0,0.6046016835708673,0.8734853742120815,-0.14157294535047743,0.022533258804156426,-0.05249340163532107,0.08473297406460266,0.08072942114227143,0,0.0
