Time,Description
2023-02-23-09-42-15,waiting for top valve to clear to make sure no blockages
2023-02-23-11-37-50,"started raining, very light and didn't last long"
2023-02-23-11-53-44,"switching bags of lime, too much fines in bag we were using"
2023-02-23-12-23-00,cyclone began receiving lime pebbles
2023-02-23-13-10-39,cyclone got more lime pebbles starting at 12:50 then stopped now
2023-02-23-13-59-38,increased load to 60kW
2023-02-23-14-46-21,noticed pebbles in the cyclone again
2023-02-23-16-57-10,load to 0kw
