,datetime,state,tg,ti,tw1,tw2,tw3,tc1,tc2,tc3,to,thop,tcool,tv,pg,pi,po,pv,dpo,dpf,dpv,mdoti,mdoto,gai,gao,m_add,sfl,datetime_tooltip,value_display,event_display,pg_lowpass,po_lowpass,pv_lowpass,pi_lowpass,dpo_lowpass,dpf_lowpass,dpv_lowpass,mdoti_lowpass,mdoto_lowpass,sfl_lowpass,ms,fill_height
50,2023-02-23 08:55:26.308870,0,0,10.20481682,9.284041405,8.679631233,9.61050415,9.086853027,9.314713478,8.443296432,9.80632019,9.129699707,0.0,9.099381447,-0.030896716,1.525689781,0,1.312040654,-0.151904529,0,-0.063240142,0.092339167,0.091539967,0.016236958,0.007935539,0.0,2.567287755,2023-02-23 08:55:26,,none,-0.04349340763426061,0.0,1.3989301788284563,1.5612595629690709,-0.1376255004605758,0.0,-0.05739682458058549,0.08973236742874782,0.08848026508707794,2.5686182277781313,0.0,0.0
55,2023-02-23 08:55:31.371935,0,0,10.21552944,9.291699409,8.678520203,9.607458115,9.105240822,9.330805779,8.4486866,9.811448097,9.107684135,0.0,9.094423294,-0.091939324,1.556211085,0,1.342561958,-0.126266634,0,-0.057898913,0.085305771,0.08789721,0.016232139,0.007935539,0.0,2.568213771,2023-02-23 08:55:31,,none,-0.03982403572229587,0.0,1.3970022950599787,1.5637449755466915,-0.1355226818813439,0.0,-0.057008944992908414,0.08974301392286461,0.08862879153355092,2.5686639019677817,0.0,0.0
60,2023-02-23 08:55:36.443541,0,0,10.21002293,9.28848362,8.67573452,9.604625702,9.097486496,9.318846703,8.444372177,9.764389992,9.126753807,0.0,9.100001335,-0.06141802,1.556211085,0,1.342561958,-0.132676108,0,-0.058967159,0.087191394,0.088656915,0.018035711,0.008545965,0.0,2.567750763,2023-02-23 08:55:36,,none,-0.0321378910355735,0.0,1.3981185955095927,1.5686204990108492,-0.1327115220565325,0.0,-0.056363063242039095,0.08985323396692409,0.08880543842115331,2.568771156886136,0.0,0.0
65,2023-02-23 08:55:41.506513,0,0,10.20911503,9.284517288,8.672189713,9.602571487,9.10770607,9.310333252,8.453447342,9.793144226,9.137547493,0.0,9.104063988,-0.000375412,1.586732389,0,1.403604566,-0.130539617,0,-0.064308387,0.086681889,0.09249609,0.01803036,0.008545965,0.0,2.570065804,2023-02-23 08:55:41,,none,-0.02106877258634784,0.0,1.4011450958710714,1.5744343126183633,-0.12805706481409412,0.0,-0.055529930851953804,0.08986977437680176,0.08915975649471579,2.5688857817904434,0.0,0.0
70,2023-02-23 08:55:46.578635,0,0,10.20678997,9.281808853,8.672958374,9.612477303,9.097003937,9.323717117,8.447331429,9.815045357,9.118927956,0.0,9.109383583,-0.06141802,1.556211085,0,1.403604566,-0.118788915,0,-0.054694177,0.083022235,0.085687518,0.018035711,0.008545965,0.0,2.568676779,2023-02-23 08:55:46,,none,-0.005422495093967902,0.0,1.4046465503457979,1.583750645414,-0.12146197925699247,0.0,-0.053924669433931635,0.0899753013334622,0.08942824980913917,2.5689081174959494,0.0,0.0
75,2023-02-23 08:55:51.658182,0,0,10.20660877,9.287744522,8.676519394,9.618030548,9.095211983,9.326512337,8.474986076,9.825082779,9.126293182,0.0,9.113790512,-0.030896716,1.586732389,0,1.403604566,-0.14442681,0,-0.054694177,0.090613998,0.085686849,0.01803036,0.008545965,0.0,2.570065804,2023-02-23 08:55:51,,none,0.01731254394560039,0.0,1.4088864705136215,1.597845813267898,-0.11171068718501392,0.0,-0.051762559818387885,0.09014198661917039,0.08997704418839408,2.568898618783491,0.0,0.0
80,2023-02-23 08:55:56.740541,0,0,10.2181921,9.291305542,8.687749863,9.612798691,9.10643959,9.333916664,8.449503899,9.800486565,9.11698246,0.0,9.111233711,-0.030896716,1.617253693,0,1.342561958,-0.154041021,0,-0.062171896,0.093312466,0.09088888,0.018025013,0.008545965,0.0,2.569602796,2023-02-23 08:55:56,,none,0.0495525736684583,0.0,1.4157736162372618,1.6190231559250166,-0.09760863190602276,0.0,-0.048842609193367664,0.09047672397438604,0.09099060341965816,2.5688772019650963,0.0,0.0
85,2023-02-23 08:56:01.816219,0,0,10.20839691,9.294886589,8.684292793,9.622494698,9.109101295,9.320138931,8.456754684,9.81085968,9.140740395,0.0,9.115962982,-0.06141802,1.525689781,0,1.373083262,-0.145495056,0,-0.06110365,0.090640919,0.090225042,0.018041064,0.007935539,0.0,2.568213771,2023-02-23 08:56:01,,none,0.09518992430280988,0.0,1.4261401329095253,1.6469610815897213,-0.07687733520289428,0.0,-0.04426902715810253,0.09100274949491786,0.09231679213418453,2.5688596345670955,0.0,0.0
90,2023-02-23 08:56:06.871429,0,0,10.21750736,9.297883034,8.699883461,9.618228912,9.099837303,9.321579933,8.483055115,9.824885368,9.153241158,0.0,9.117048264,-0.030896716,1.525689781,0,1.373083262,-0.142290319,0,-0.056830668,0.089769798,0.087191802,0.018041064,0.007935539,0.0,2.569139788,2023-02-23 08:56:06,,none,0.16219862163043863,0.0,1.4421958025683839,1.6872644320379324,-0.04654439007367149,0.0,-0.037169939485819974,0.0918766957964551,0.09404730500997291,2.5688557056380885,0.0,0.0
95,2023-02-23 08:56:11.934614,0,0,10.21709824,9.303208351,8.676395416,9.625464439,9.101969719,9.350855827,8.481363297,9.862254143,9.237262726,0.0,9.127344131,-0.091939324,1.525689781,0,1.312040654,-0.145495056,0,-0.064308387,0.090639528,0.092255491,0.018041064,0.007935539,0.0,2.567287755,2023-02-23 08:56:11,,none,0.26014603326120955,0.0,1.4682153286266735,1.7473240057027097,-0.001612310365039055,0.0,-0.026567458856730727,0.09316868705621252,0.09655203720667122,2.5688577566914543,0.0,0.0
100,2023-02-23 08:56:17.004004,0,0,10.21836758,9.305625916,8.700282097,9.628264427,9.103294373,9.33535862,8.459360123,9.886804581,9.192238808,0.0,9.119439125,-0.000375412,1.617253693,0,1.464647174,-0.130539617,0,-0.054694177,0.086788137,0.085802949,0.025235018,0.010987669,0.0,2.569139788,2023-02-23 08:56:17,,none,0.40743563914762504,0.0,1.5084310520083892,1.8388898515536425,0.06460298387637536,0.0,-0.010632888747562129,0.09519029258736908,0.10010484132196582,2.568934676752846,0.0,0.0
105,2023-02-23 08:56:22.063840,0,0,10.22747898,9.302124977,8.695939064,9.634319305,9.117687225,9.341340065,8.477198601,9.793419838,9.103796005,0.0,9.125113487,-0.030896716,1.586732389,0,1.464647174,-0.146563301,0,-0.054694177,0.091191151,0.085802087,0.019833396,0.008545965,0.0,2.568213771,2023-02-23 08:56:22,,none,0.6237051600930534,0.0,1.5595500190476075,1.9710520821227435,0.16266191422194298,0.0,0.013021485364475711,0.09818047784244711,0.10531755146282237,2.569010272789556,0.0,0.0
110,2023-02-23 08:56:27.124271,0,0,10.21715069,9.30020237,8.696696281,9.625899315,9.105445862,9.321453094,8.455392838,9.805196762,9.128193855,0.0,9.127779007,-0.030896716,1.586732389,0,1.403604566,-0.140153827,0,-0.054694177,0.089432412,0.085684725,0.01803036,0.008545965,0.0,2.569602796,2023-02-23 08:56:27,,none,0.9422024706799881,0.0,1.6338296962621952,2.164854868278803,0.3082991933524297,0.0,0.04815683200144285,0.10250673846130036,0.11297338479308063,2.5690622219402326,0.0,0.0
115,2023-02-23 08:56:32.193094,0,0,10.21248245,9.29973793,8.698605537,9.634990692,9.105824471,9.337123871,8.457684517,9.881329536,9.147766113,0.0,9.135725975,-0.030896716,1.586732389,0,1.403604566,-0.142290319,0,-0.064308387,0.090026295,0.092490902,0.01803036,0.008545965,0.0,2.567750763,2023-02-23 08:56:32,,none,1.4158845759019265,0.0,1.7490085318597768,2.4508564240913397,0.5235243285604058,0.0,0.10020783824582412,0.10906171648946392,0.12433045183090816,2.56908086032057,0.0,0.0
