,datetime,state,tg,ti,tw1,tw2,tw3,tc1,tc2,tc3,to,thop,tcool,tv,pg,pi,po,pv,dpo,dpf,dpv,mdoti,mdoto,gai,gao,m_add,datetime_tooltip,value_display,event_display,pg_lowpass,po_lowpass,pv_lowpass,pi_lowpass,dpo_lowpass,dpf_lowpass,dpv_lowpass,mdoti_lowpass,mdoto_lowpass,ms,fill_height
0,2022-12-14 09:13:26.676185,0,0,1.251487255,0.592659295,0.1560013,0.531029701,0.654763639,1.355327725,1.424239635,2.562737465,1.192483544,0.0,1.947511435,-1.282270175,1.922466732,0,0.213273715,-0.146563301,0.032901966,-0.055762422,0.093884361,0.074014424,0.117201807,0.007935539,0.0,2022-12-14 09:13:26,,none,-1.2843657907222799,0.0,0.20675854856958636,1.9104193424089781,-0.14903569981725212,0.03469947940823292,-0.05756659633236361,0.09455908446732217,0.07407583547230384,0.0,0.0
5,2022-12-14 09:13:31.726119,0,0,1.260705113,0.597665548,0.148125589,0.538715422,0.66640991,1.384968996,1.438949943,2.569560528,1.194711804,0.0,1.955964327,-1.282270175,1.952988036,0,0.274316323,-0.148699792,0.038243194,-0.060035405,0.094585023,0.079499599,0.117201807,0.007935539,0.0,2022-12-14 09:13:31,,none,-1.2955613906906311,0.0,0.21360299027390098,1.9129626347335664,-0.14853164742859062,0.033816538755662214,-0.059143077188037116,0.09441141594169104,0.07503289801419581,0.0,0.0
10,2022-12-14 09:13:36.796139,0,0,1.257045746,0.590178609,0.148163721,0.52663511,0.668744802,1.387304068,1.437456727,2.566732407,1.206814408,0.0,1.961110473,-1.312791478,1.952988036,0,0.213273715,-0.160450494,0.033970211,-0.067513124,0.097837359,0.077691319,0.115370529,0.007935539,0.0,2022-12-14 09:13:36,,none,-1.302494261901527,0.0,0.21646706024608403,1.911192467850282,-0.1481870454406911,0.033057355567454254,-0.06014217777383048,0.09429890373470201,0.07550901058241885,0.0,0.0
15,2022-12-14 09:13:41.856520,0,0,1.259815335,0.595627427,0.149655133,0.533232212,0.667939603,1.39377284,1.438948393,2.577612162,1.215013146,0.0,1.97153759,-1.343312782,1.98350934,0,0.243795019,-0.143358564,0.020083018,-0.060035405,0.09313611,0.077767282,0.117201807,0.007325113,0.0,2022-12-14 09:13:41,,none,-1.307236426142315,0.0,0.2189379414298458,1.9022645162610516,-0.14791788891896257,0.03234081873392428,-0.0605892645566327,0.0941892982744601,0.07583168350514165,0.0,0.0
20,2022-12-14 09:13:46.923425,0,0,1.264586687,0.59503907,0.160038218,0.5425964,0.670285046,1.402626872,1.442442656,2.588527679,1.207168818,0.0,1.974777818,-1.312791478,1.83090282,0,0.274316323,-0.145495056,0.035038457,-0.062171896,0.09328622,0.080403746,0.117201807,0.008545965,0.0,2022-12-14 09:13:46,,none,-1.3106213103602251,0.0,0.22115089427796855,1.8843287003721703,-0.14815370206615366,0.03183402911785386,-0.0610405772973874,0.09419632982874941,0.07614730587283172,0.0,0.0
25,2022-12-14 09:13:51.997329,0,0,1.275255322,0.606472075,0.15926224,0.548287451,0.679844618,1.41410172,1.455831766,2.592631102,1.210123062,0.0,1.989658713,-1.282270175,1.861424124,0,0.243795019,-0.149768038,0.026492492,-0.063240142,0.094592277,0.07896084,0.117201807,0.008545965,0.0,2022-12-14 09:13:51,,none,-1.312529872567099,0.0,0.22200642640832718,1.868571055199828,-0.14857494183147957,0.031222934785160573,-0.06135709991881659,0.0942620060841396,0.0762985358814877,0.0,0.0
30,2022-12-14 09:13:57.068253,0,0,1.279202461,0.596638322,0.159932822,0.546492338,0.683960438,1.406349897,1.456502557,2.577540159,1.193502665,0.0,1.989011765,-1.343312782,1.83090282,0,0.243795019,-0.142290319,0.026492492,-0.056830668,0.092364125,0.07646485,0.117201807,0.007935539,0.0,2022-12-14 09:13:57,,none,-1.3131096274494638,0.0,0.2226520064337625,1.8607217709765869,-0.14894817208906,0.031132041617426404,-0.06134251137074536,0.09434079322892898,0.07632653118239732,0.0,0.0
35,2022-12-14 09:14:02.131841,0,0,1.288031697,0.604700923,0.159249529,0.549961388,0.677535057,1.41753459,1.460413218,2.58686924,1.227331877,0.0,2.002819061,-1.282270175,1.861424124,0,0.213273715,-0.152972775,0.030765474,-0.060035405,0.095480959,0.075514987,0.117201807,0.008545965,0.0,2022-12-14 09:14:02,,none,-1.3133528667920293,0.0,0.22365881515217448,1.8583956080812294,-0.14942551659122844,0.03159540156755589,-0.06121688517204689,0.09446711291946326,0.07636942144533712,0.0,0.0
40,2022-12-14 09:14:07.191291,0,0,1.288791418,0.603929341,0.16134274,0.556080103,0.680776894,1.422308207,1.473226547,2.596947908,1.234729886,0.0,2.005110264,-1.373834086,1.83090282,0,0.213273715,-0.150836284,0.043584422,-0.063240142,0.094784134,0.076515177,0.115370529,0.007325113,0.0,2022-12-14 09:14:07,,none,-1.316130785417019,0.0,0.22375707763173444,1.8572185680989315,-0.14988803741758117,0.031854781382230996,-0.06121820828341954,0.09459249366903104,0.07636657691232615,0.0,0.0
45,2022-12-14 09:14:12.260971,0,0,1.285288334,0.605402946,0.17426239,0.55410856,0.686041951,1.422214031,1.476577997,2.595162392,1.249406219,0.0,2.004669666,-1.373834086,1.861424124,0,0.182752411,-0.154041021,0.028628983,-0.060035405,0.095775507,0.072468011,0.117201807,0.007325113,0.0,2022-12-14 09:14:12,,none,-1.3178298514930593,0.0,0.22268902323404707,1.857018164930666,-0.15010464647165414,0.03180214051771488,-0.0611134175681127,0.09465243127483083,0.07620504369888408,0.0,0.0
50,2022-12-14 09:14:17.305076,0,0,1.296988845,0.607149422,0.169458449,0.557003438,0.707650781,1.433105588,1.473687291,2.619753838,1.244134068,0.0,1.997227788,-1.312791478,1.861424124,0,0.213273715,-0.157245758,0.032901966,-0.070717861,0.096647169,0.078446348,0.115370529,0.007935539,0.0,2022-12-14 09:14:17,,none,-1.3184903498600136,0.0,0.22109555410673704,1.8563678458692863,-0.15021226805242888,0.03202915041163268,-0.06100141657680732,0.09467950412307252,0.07599363209692106,0.0,0.0
55,2022-12-14 09:14:22.355648,0,0,1.297652006,0.613554537,0.169239402,0.563025713,0.696330488,1.443606138,1.480359435,2.612413406,1.249810815,0.0,2.004399776,-1.312791478,1.800381516,0,0.152231107,-0.152972775,0.051062141,-0.06858137,0.095263655,0.068649678,0.115370529,0.005493835,0.0,2022-12-14 09:14:22,,none,-1.318405615430068,0.0,0.22049579523324664,1.8542490023756937,-0.15013326630784507,0.032417308877261276,-0.06100617074733154,0.09464928582116107,0.07588144589544768,0.0,0.0
60,2022-12-14 09:14:27.432510,0,0,1.301269531,0.609132946,0.170090899,0.560900927,0.703306913,1.454028964,1.497673512,2.625084877,1.258652687,0.0,2.00725174,-1.282270175,1.861424124,0,0.243795019,-0.155109266,0.032901966,-0.052557685,0.096065356,0.074556835,0.117201807,0.007935539,0.0,2022-12-14 09:14:27,,none,-1.320591290335025,0.0,0.21983773802035317,1.8535089770716169,-0.15001286700619867,0.03215689482671322,-0.060921575893867395,0.09461170699490376,0.075839607197781,0.0,0.0
65,2022-12-14 09:14:32.500688,0,0,1.295601726,0.610738933,0.170771942,0.564420819,0.707816064,1.450498939,1.486869335,2.625100136,1.264410138,0.0,2.01345253,-1.343312782,1.800381516,0,0.213273715,-0.146563301,0.032901966,-0.060035405,0.093481236,0.075513528,0.115370529,0.007325113,0.0,2022-12-14 09:14:32,,none,-1.3221381892063988,0.0,0.21790923416566507,1.8530584978477969,-0.14997201189231002,0.03241260939352383,-0.06086042465996731,0.09459770663102646,0.07568460390115245,0.0,0.0
70,2022-12-14 09:14:37.566420,0,0,1.311257005,0.604573071,0.166415051,0.565145254,0.712645948,1.461072087,1.491316915,2.628319979,1.259590387,0.0,2.015325546,-1.282270175,1.861424124,0,0.243795019,-0.14442681,0.030765474,-0.060035405,0.093071559,0.077761094,0.117201807,0.007935539,0.0,2022-12-14 09:14:37,,none,-1.3230521978310263,0.0,0.2168080515402797,1.8568486904085961,-0.14997928009305897,0.03264689033188804,-0.06071180488474543,0.0946111643646155,0.07555431575790111,0.0,0.0
75,2022-12-14 09:14:42.621747,0,0,1.317396641,0.612626016,0.176108167,0.576260448,0.713918507,1.467704535,1.506754994,2.643406153,1.272760868,0.0,2.017254114,-1.343312782,1.83090282,0,0.243795019,-0.148699792,0.03183372,-0.056830668,0.094182919,0.076460926,0.117201807,0.007935539,0.0,2022-12-14 09:14:42,,none,-1.324435719871705,0.0,0.21630287582740232,1.8663638124035202,-0.1500442578682759,0.03307007016158446,-0.060794676324363396,0.09465943740320966,0.0755123828190685,0.0,0.0
80,2022-12-14 09:14:47.687922,0,0,1.312700152,0.606781602,0.172065258,0.572330117,0.722890437,1.471700549,1.499265552,2.648538351,1.277509689,0.0,2.020980358,-1.312791478,1.861424124,0,0.274316323,-0.149768038,0.042516176,-0.062171896,0.094585824,0.080396996,0.115370529,0.007325113,0.0,2022-12-14 09:14:47,,none,-1.3232020705483252,0.0,0.2175494404884146,1.882857034506188,-0.1498886029793614,0.033596416817269575,-0.06117955803968087,0.09466834587210346,0.0757180518909847,0.0,0.0
85,2022-12-14 09:14:52.747437,0,0,1.326586366,0.619135022,0.179789245,0.571285605,0.725638866,1.472917795,1.506608367,2.66392231,1.288297892,0.0,2.023381472,-1.343312782,2.014030643,0,0.213273715,-0.152972775,0.035038457,-0.057898913,0.09596372,0.074783764,0.115370529,0.007935539,0.0,2022-12-14 09:14:52,,none,-1.3219842154394323,0.0,0.21864105293757696,1.8989198523366446,-0.14986292967725445,0.033951400845532054,-0.061496879925361216,0.09471144383667536,0.0759649470486255,0.0,0.0
90,2022-12-14 09:14:57.810870,0,0,1.328297973,0.618166864,0.175437585,0.584480822,0.720521152,1.489238858,1.514889836,2.675071955,1.293321133,0.0,2.014372826,-1.343312782,1.922466732,0,0.182752411,-0.164723477,0.029697229,-0.063240142,0.098857768,0.073196133,0.115370529,0.007325113,0.0,2022-12-14 09:14:57,,none,-1.3212875918301816,0.0,0.2184320527221424,1.8980780759930527,-0.14977752649538897,0.033983289860620686,-0.06185358513434085,0.09468553977404305,0.07608800382390211,0.0,0.0
95,2022-12-14 09:15:02.871181,0,0,1.323857903,0.613344491,0.188316911,0.581189692,0.729573846,1.492550015,1.518966556,2.676225901,1.294092059,0.0,2.021418571,-1.312791478,1.891945428,0,0.213273715,-0.151904529,0.037174948,-0.060035405,0.095281541,0.075512435,0.117201807,0.007935539,0.0,2022-12-14 09:15:02,,none,-1.3208199693355167,0.0,0.219331532416471,1.891612364094203,-0.1494272040174201,0.034260141531311614,-0.0619324462135027,0.09456859506735003,0.07622943127561191,0.0,0.0
100,2022-12-14 09:15:07.943776,0,0,1.33509481,0.619220972,0.179633752,0.585917771,0.730459809,1.497264504,1.525595307,2.665556192,1.307925105,0.0,2.029210567,-1.312791478,1.861424124,0,0.243795019,-0.143358564,0.039311439,-0.056830668,0.092760029,0.076459265,0.117201807,0.007935539,0.0,2022-12-14 09:15:07,,none,-1.3206107706502141,0.0,0.2200285407648495,1.8841410805585295,-0.14909617712459083,0.034456151830494504,-0.061733268805597,0.09445198450071117,0.07622743767923396,0.0,0.0
105,2022-12-14 09:15:12.998202,0,0,1.340038061,0.620335758,0.187494576,0.590860486,0.737938702,1.506658554,1.535755038,2.682410717,1.306019187,0.0,2.035302639,-1.343312782,1.891945428,0,0.213273715,-0.155109266,0.030765474,-0.063240142,0.09616383,0.076510979,0.117201807,0.008545965,0.0,2022-12-14 09:15:12,,none,-1.3210065143240708,0.0,0.22053778120537135,1.877838105665096,-0.14914356801485568,0.034531135972045476,-0.06167922091200465,0.09444501463655473,0.07622284445419446,0.0,0.0
110,2022-12-14 09:15:18.049168,0,0,1.346994281,0.623463154,0.190612733,0.600112617,0.744119644,1.503651857,1.54538238,2.678499937,1.317422152,0.0,2.039196491,-1.312791478,1.891945428,0,0.243795019,-0.142290319,0.033970211,-0.064308387,0.092542558,0.079330272,0.117201807,0.007935539,0.0,2022-12-14 09:15:18,,none,-1.3208676943372675,0.0,0.22132176636800274,1.87128215753087,-0.14920263140147322,0.034509937556125796,-0.061602676650593685,0.09443982460257619,0.07617904845266972,0.0,0.0
115,2022-12-14 09:15:23.115414,0,0,1.347369671,0.623838544,0.184445187,0.595511556,0.739865482,1.50705409,1.544956088,2.69337821,1.3242594,0.0,2.040337563,-1.343312782,1.83090282,0,0.213273715,-0.156177512,0.037174948,-0.055762422,0.096239182,0.07400194,0.115370529,0.007325113,0.0,2022-12-14 09:15:23,,none,-1.3199812096449532,0.0,0.22059044353618973,1.8633110531478718,-0.14932712447778282,0.03424358455256678,-0.061349996388060796,0.0944479357549937,0.07590718678284125,0.0,0.0
120,2022-12-14 09:15:28.197758,0,0,1.346765518,0.625913978,0.185408816,0.595290303,0.74542284,1.512612104,1.548982859,2.674599409,1.320795774,0.0,2.044327736,-1.282270175,1.891945428,0,0.243795019,-0.151904529,0.032901966,-0.052557685,0.095277565,0.074551813,0.117201807,0.007935539,0.0,2022-12-14 09:15:28,,none,-1.3190175382466758,0.0,0.22013974143184337,1.8554509686884149,-0.1493554199256489,0.034080437222358165,-0.061324262297523253,0.09442902066551612,0.0758867699744291,0.0,0.0
125,2022-12-14 09:15:33.257229,0,0,1.357438684,0.627398849,0.188729569,0.59907186,0.746064365,1.518613577,1.55421865,2.688786745,1.321582437,0.0,2.053853035,-1.312791478,1.861424124,0,0.213273715,-0.159382249,0.029697229,-0.066444879,0.097211989,0.077402835,0.117201807,0.007935539,0.0,2022-12-14 09:15:33,,none,-1.3196686045490151,0.0,0.2200717114308234,1.846211810856827,-0.14928642930904523,0.03419048213073703,-0.061515821117253705,0.0943776325437276,0.07607243332271667,0.0,0.0
130,2022-12-14 09:15:38.336921,0,0,1.359597325,0.630322874,0.190578341,0.597402394,0.74753058,1.521994114,1.565256238,2.705209255,1.345660329,0.0,2.05218339,-1.343312782,1.861424124,0,0.213273715,-0.152972775,0.037174948,-0.065376633,0.095468512,0.077116408,0.117201807,0.007935539,0.0,2022-12-14 09:15:38,,none,-1.320817273292605,0.0,0.21968434872465156,1.8347309744027083,-0.14882678274027264,0.034108898357406756,-0.06157968014030705,0.0942095386099614,0.07614512275035831,0.0,0.0
135,2022-12-14 09:15:43.403839,0,0,1.359287858,0.632310152,0.188806579,0.605897188,0.754945934,1.519839168,1.570758224,2.719185114,1.364228845,0.0,2.053405285,-1.312791478,1.800381516,0,0.243795019,-0.139085582,0.032901966,-0.064308387,0.091320865,0.079328224,0.117201807,0.008545965,0.0,2022-12-14 09:15:43,,none,-1.3227415306567716,0.0,0.2198739925767616,1.8216390629638977,-0.14840531291570264,0.03410811073864814,-0.061397208093903734,0.09404588004004527,0.07614775629471254,0.0,0.0
140,2022-12-14 09:15:48.470385,0,0,1.369753838,0.636267483,0.198679149,0.609471679,0.761757195,1.538519502,1.5775702,2.700292587,1.351463437,0.0,2.056980371,-1.312791478,1.769860212,0,0.182752411,-0.152972775,0.033970211,-0.063240142,0.095138504,0.073190466,0.115370529,0.007325113,0.0,2022-12-14 09:15:48,,none,-1.3248398484285309,0.0,0.2196992525356476,1.8106884482146153,-0.1482915908766978,0.03419133025117619,-0.06093769433836418,0.09397586955424102,0.07600131669221735,0.0,0.0
145,2022-12-14 09:15:53.517977,0,0,1.371453524,0.628779709,0.198603645,0.611936629,0.762064457,1.542272449,1.583237529,2.720382929,1.33594799,0.0,2.054085493,-1.343312782,1.800381516,0,0.213273715,-0.149768038,0.033970211,-0.063240142,0.09436627,0.076508368,0.115370529,0.007325113,0.0,2022-12-14 09:15:53,,none,-1.3264743074838392,0.0,0.21944206084011256,1.8004921242641378,-0.14835393649041728,0.03380606270419383,-0.06069045178137626,0.09395821589152538,0.07591731097646592,0.0,0.0
150,2022-12-14 09:15:58.589042,0,0,1.375542164,0.630953848,0.194185421,0.613728046,0.767598748,1.54397881,1.583795309,2.712563276,1.354162097,0.0,2.05817461,-1.343312782,1.769860212,0,0.213273715,-0.148699792,0.041447931,-0.063240142,0.093959428,0.0765078,0.117201807,0.007935539,0.0,2022-12-14 09:15:58,,none,-1.3270266903606076,0.0,0.21924650127572545,1.7906071052531973,-0.14863284534908855,0.03357743418332796,-0.06061912969636358,0.09400129697772626,0.07588053210023601,0.0,0.0
155,2022-12-14 09:16:03.643763,0,0,1.380492926,0.636669695,0.207430378,0.620592177,0.771274984,1.549569726,1.588237762,2.723330736,1.373351336,0.0,2.055468321,-1.312791478,1.800381516,0,0.213273715,-0.143358564,0.015810035,-0.057898913,0.09255508,0.074779404,0.119033085,0.009156391,0.0,2022-12-14 09:16:03,,none,-1.328515025391582,0.0,0.21979681757120478,1.7812098062984703,-0.14877386446377858,0.03333785013856397,-0.060598026296044265,0.09400674625374779,0.07589972087629826,0.0,0.0
160,2022-12-14 09:16:08.698677,0,0,1.382379532,0.640470028,0.19814913,0.61635375,0.766586363,1.5659374,1.59311986,2.734806538,1.372192264,0.0,2.05888629,-1.312791478,1.800381516,0,0.213273715,-0.149768038,0.043584422,-0.057898913,0.094364392,0.07477894,0.117201807,0.007935539,0.0,2022-12-14 09:16:08,,none,-1.3301465053766455,0.0,0.21907147280634048,1.7709405718631406,-0.14885701455280007,0.03378852835516703,-0.060884266237135394,0.09399251252864887,0.07589325740799684,0.0,0.0
165,2022-12-14 09:16:13.764463,0,0,1.385419011,0.638150036,0.206151262,0.619392931,0.776503503,1.564370036,1.59499824,2.73625803,1.405419707,0.0,2.061543226,-1.282270175,1.739338909,0,0.243795019,-0.147631547,0.036106702,-0.067513124,0.09354897,0.080392759,0.115370529,0.007325113,0.0,2022-12-14 09:16:13,,none,-1.3301596918276588,0.0,0.2165234237877803,1.7595788945053334,-0.14858054924553438,0.03420235499796467,-0.061129122094101984,0.09387498325080657,0.07570337452442366,0.0,0.0
170,2022-12-14 09:16:18.827717,0,0,1.392877698,0.643311083,0.204123065,0.627999187,0.778685927,1.570381284,1.607517958,2.731335402,1.408536911,0.0,2.072065353,-1.373834086,1.739338909,0,0.152231107,-0.151904529,0.024356,-0.060035405,0.094727223,0.068078181,0.11353925,0.007325113,0.0,2022-12-14 09:16:18,,none,-1.3294593749011516,0.0,0.2144793479411998,1.7505230897741098,-0.1484908047169969,0.034444205506430445,-0.06087413566625533,0.09381781491255618,0.07538036323486486,0.0,0.0
175,2022-12-14 09:16:23.891145,0,0,1.404123068,0.646133482,0.204282299,0.630821526,0.788415432,1.583174706,1.608060122,2.742769241,1.411930323,0.0,2.061870813,-1.282270175,1.739338909,0,0.243795019,-0.145495056,0.035038457,-0.058967159,0.092946961,0.077333076,0.117201807,0.007935539,0.0,2022-12-14 09:16:23,,none,-1.3278109913623728,0.0,0.2146593430605164,1.74436748683912,-0.1484255379608132,0.034819136511364646,-0.06076152512245556,0.09377760815147475,0.07535999124149392,0.0,0.0
180,2022-12-14 09:16:28.932889,0,0,1.397887707,0.636836469,0.208671376,0.629563272,0.775578618,1.57646203,1.605941653,2.747354984,1.42914927,0.0,2.061378002,-1.343312782,1.678296301,0,0.182752411,-0.152972775,0.043584422,-0.056830668,0.09477424,0.07160883,0.115370529,0.007325113,0.0,2022-12-14 09:16:28,,none,-1.329425743227575,0.0,0.21357225998411156,1.7400574123787615,-0.14854973661154566,0.03520890315981958,-0.06092975373421239,0.0937968988877321,0.07532048746024773,0.0,0.0
185,2022-12-14 09:16:33.990840,0,0,1.40118742,0.649705768,0.212114751,0.639370203,0.791655064,1.59024322,1.606705904,2.749412775,1.43733263,0.0,2.065060854,-1.343312782,1.739338909,0,0.182752411,-0.145495056,0.037174948,-0.069649615,0.092947457,0.074299692,0.115370529,0.007325113,0.0,2022-12-14 09:16:33,,none,-1.3302949977467229,0.0,0.2124443113638546,1.7381680181255503,-0.14858397474238103,0.035526820776578864,-0.06140949817464544,0.0938012371831716,0.07535149629600592,0.0,0.0
190,2022-12-14 09:16:39.048229,0,0,1.406968951,0.652041495,0.209608093,0.639791906,0.794507444,1.58735311,1.613387108,2.77248168,1.451594353,0.0,2.062036753,-1.343312782,1.708817605,0,0.152231107,-0.145495056,0.042516176,-0.06110365,0.092834775,0.06820336,0.115370529,0.007325113,0.0,2022-12-14 09:16:39,,none,-1.329315618957451,0.0,0.21048314574372404,1.7366255717120687,-0.14856744867202124,0.03581775887632277,-0.0616199994726745,0.09379548676272212,0.07521823206052226,0.0,0.0
195,2022-12-14 09:16:44.095135,0,0,1.402728558,0.645887494,0.212821215,0.64014554,0.791978836,1.601669788,1.61660099,2.778870344,1.448028326,0.0,2.066601992,-1.312791478,1.769860212,0,0.213273715,-0.150836284,0.042516176,-0.056830668,0.094546733,0.074394658,0.117201807,0.007935539,0.0,2022-12-14 09:16:44,,none,-1.329064534633563,0.0,0.2094765477512189,1.7370046800305234,-0.1485693044817116,0.035468074188675064,-0.06168304297437266,0.0938041368992501,0.07515751217907503,0.0,0.0
200,2022-12-14 09:16:49.168797,0,0,1.417222738,0.655786455,0.210344478,0.644685268,0.79562676,1.596512437,1.616803646,2.775935173,1.465384245,0.0,2.065782547,-1.312791478,1.800381516,0,0.213273715,-0.142290319,0.033970211,-0.054694177,0.092241879,0.073589007,0.117201807,0.007935539,0.0,2022-12-14 09:16:49,,none,-1.329404257991616,0.0,0.20930970755678607,1.7382048392705367,-0.14829029958803408,0.03478737606904715,-0.06190847760947093,0.09374157128797639,0.0752494564298639,0.0,0.0
205,2022-12-14 09:16:54.227113,0,0,1.422794938,0.652936399,0.220284373,0.653702021,0.802888155,1.616025925,1.624831557,2.756871462,1.465847135,0.0,2.070972204,-1.343312782,1.769860212,0,0.243795019,-0.150836284,0.041447931,-0.066444879,0.094543278,0.080046627,0.119033085,0.007935539,0.0,2022-12-14 09:16:54,,none,-1.330202454833243,0.0,0.21001455611374878,1.7364479943515365,-0.14829674621246028,0.034362816816605427,-0.06226002190907404,0.09375348791915605,0.07546997188322745,0.0,0.0
210,2022-12-14 09:16:59.281093,0,0,1.422339559,0.654012263,0.219178692,0.64865309,0.81096983,1.60113728,1.646696806,2.761508465,1.43909061,0.0,2.075876951,-1.343312782,1.769860212,0,0.243795019,-0.145495056,0.021151264,-0.06858137,0.093052204,0.080725156,0.117201807,0.007935539,0.0,2022-12-14 09:16:59,,none,-1.330906084164256,0.0,0.20967079847347306,1.7307501653264317,-0.1482935251544961,0.03406092478939997,-0.062198968796776756,0.0937554504529626,0.07546509993722912,0.0,0.0
215,2022-12-14 09:17:04.342317,0,0,1.415930629,0.647604108,0.222195208,0.65717411,0.80058831,1.630954266,1.644737005,2.816985846,1.456279039,0.0,2.079422235,-1.343312782,1.769860212,0,0.243795019,-0.148699792,0.037174948,-0.063240142,0.093952517,0.078947963,0.117201807,0.008545965,0.0,2022-12-14 09:17:04,,none,-1.3313937543653052,0.0,0.20817390069198385,1.722167670498983,-0.14814064503547558,0.03399128404467009,-0.06171243689242086,0.09371616403381823,0.07522440418949033,0.0,0.0
220,2022-12-14 09:17:09.391374,0,0,1.418716788,0.664170682,0.224136695,0.658045888,0.814397097,1.619879246,1.649358988,2.806269884,1.529790163,0.0,2.086037159,-1.343312782,1.739338909,0,0.243795019,-0.148699792,0.047857404,-0.058967159,0.093840411,0.077329681,0.117201807,0.007935539,0.0,2022-12-14 09:17:09,,none,-1.3298220010373507,0.0,0.20702501730015874,1.7141891139590528,-0.14767735659749248,0.03428649504324883,-0.061493981094095033,0.09360996969429496,0.07508336234142923,0.0,0.0
